MeshEMS V3 w/o CS Energy Meter  - Bill of Materials,,,,,,,,,,
Compatible with NESL EMS CONTROLLER PCB 865B,,,,,,,,,,
,,,,,,,,,,
Boards to build:,1,<- edit; 'Ext. qty' updates automatically,,,,,,,,
,,,,,,,,,,
Item #,Component,"Qty/
board","Ext.
qty",Part Description,Amazon ASIN,Amazon link,Secondary supplier,Secondary part no. (MPN),Secondary link,Notes / status
1,ESP32-S3 dev board,1,1,"Hosyond ESP32-S3-WROOM-1 dev board, N16R8 (16 MB flash / 8 MB PSRAM), USB-C",B0F5QCK6X5,open,Espressif ,ESP32-S3-DevKitC-1-N16R8,open,"Official Espressif board, same module/mem config. DigiKey PN 1965-ESP32-S3-DEVKITC-1-N16R8-ND. Pin labeling differs slightly from the Hosyond clone."
2,"1.3"" OLED display",1,1,"1.3"" 128x64 mono OLED, SH1106/SSD1306, I2C or SPI (4pc pack)",B09ZPDBY67,open,Adafruit ,Adafruit 938,open,"Adafruit 938 = 1.3"" 128x64 SH1106 mono OLED. Confirm SPI wiring; pin order varies between clones."
3,W5500 Ethernet Adaptor,1,1,"ACEIRMC W5500 SPI-to-Ethernet module (WIZ820io-style, 3.3/5 V, 5pc pack)",B0DTTLGJCS,open,WIZnet ,WIZ850io (module) ,open,WIZ850io is the branded W5500 module equivalent
4,TTL<-> RS-485 Module,2,2,Teyleten TTL<->RS-485 auto-flow module,B0CPFDJZXL,open,AliExpress,"TTL-RS485 auto flow control module, 3.3/5 V (item 3256807260061895)",open,MAX13487E IC is the auto-direction transceiver at its core. Pin order on these clones isn't standardized - verify the header pinout.
5,SD card module,1,1,"DAOKAI microSD card module w/ level shifting, for Arduino (5pc pack)",B09YYG6BT3,open,Adafruit ,Adafruit 254,open,Adafruit 254 = level-shifted microSD breakout. Check whether your board relies on the module's onboard 3.3 V regulator / level shifter.
6,4pin Tactical switch,2,2,"Chanzon 6x6x5 mm THT tactile switch, SPST-NO, 4-pin (150pc pack)",B09R47N37H,open,Omron ,B3F-1020,open,
7,10k ohm resistor,2,2,"10 kohm resistor, 1/4 W 1% axial (THT)",B07HDGX5LM,open,Yageo ,MFR-25FBF52-10K0,open,
8,51k ohm resistor,1,1,"51 kohm resistor, 1/4 W 1% axial (THT)",B08QRWL6Z2,open,Yageo ,MFR-25FBF52-51K0,open,
9,0.1uf capacitor,2,2,"0.1 uF (100 nF) ceramic disc, X7R, 50 V (THT)",B08B3VCK42,open,Vishay / KEMET ,"K104K15X7RF5UH5  (Vishay, THT radial disc)",open,"0.1 uF, THT confirmed. 50 V X7R radial disc, 2.54 mm lead spacing. KEMET C315C104K5R5TA is an equivalent."
10,"2pin right-angle connector
(SSR1, SSR2, GPS, Door SW, RS485 (EVC))",5,5,"2-pin 3.81 mm pluggable set, RIGHT-ANGLE (screw plug + RA PCB header)",B0G48MZGPL,open,Phoenix Contact,5444262 (2-pos RA header) + 5447861 (2-pos plug),open,
11,"2pin straight connector
(EX3.3V, EX5V)",2,2,"2-pin 3.81 mm pluggable set, VERTICAL/straight (screw plug + vertical header)",B0FRZB8686,open,Phoenix Contact,1803277 (2-pos vertical header) + 5447861 (2-pos plug),"header
plug",
12,1 x 4-pin connector,1,1,"4-pin 3.81 mm pluggable set, right-angle (same family as the 2-pin RA set)",B0G48SRM1N,open,Phoenix Contact,5447887 (4-pos plug) + 5444288 (4-pos 3.81 mm RA header),"header
plug",
13,"2-pin 0.1"" male header",3,3,"2.54 mm THT male header, 2 position",B01GKJZ310,open,Sullins ,PRPC040SAAN-RC,open,Cheapest is a 1x40 breakaway strip snapped to length.
14,"2-pin 0.1"" jumper",1,1,2.54 mm shunt / jumper (open top),B0BRK36G33,open,Sullins ,SPC02SYAN (or QPC02SXGN-RC),open,"Standard 0.1"" jumper shunt. DigiKey S9337-ND."
15,"1x20 0.1"" male header",2,2,"2.54 mm THT male header, 1x20 (mating rows for the ESP32-S3 board)",B01GKJZ310,open,Sullins ,PRPC040SAAN-RC 1x40 snapped to 20,open,Two 1x20 rows = the strips the energy meter board sits on.
16,1x7 female PCB header,1,1,"Dahszhi 2.54 mm female header strip, 1x7",B0CTKF396C,open,Sullins ,PPTC071LFBN-RC,open,
17,1x7 male stackable PCB header,1,1,"2.54 mm stackable / pass-through header, 1x7, 10 mm stack height",B0778M5P1W,open,Samtec,SSQ-107-03-T-S,open,Amazon listing is for ZYAMY 30pcs 2.54mm 6Pin 8Pin 10Pin Female Socket Pin Header Strip Kit. Use 8 pin strip and cut off extra terminal position
18,5.08 mm 3-pin right-angle terminal block,2,2,"uxcell 3-pin 5.08 mm right-angle PCB screw terminal block, 10 sets (marked temporary)",B0924NMTQ3,open,Phoenix,1757022 (3-pos plug) + 1757255 (3-pos 5.08 mm RA header),"header
plug",5.08 mm 3-pos RA screw terminal
19,DIN rail mounting clip,1,1,"CNQLIS 35 mm DIN-rail snap-in clip, aluminum (10pc pack)",B0CJHHXYM9,open,Recom Power,R-DR/CLIP,open,35 mm DIN-rail bracket
